employer_key,employer,fiscal_year,approvals,denials,state,city
amazon com,AMAZON COM SERVICES LLC,2021;2022;2023,36085,595,WA,SEATTLE
infosys,INFOSYS LIMITED,2021;2022;2023,25990,625,TX,RICHARDSON
tata consultancy svcs,TATA CONSULTANCY SVCS LTD,2021;2022;2023,24287,1208,MD,ROCKVILLE
cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US,2021;2022;2023,18994,443,TX,COLLEGE STATION
google,GOOGLE LLC,2021;2022;2023,17362,190,CA,MOUNTAIN VIEW
microsoft,MICROSOFT CORPORATION,2021;2022;2023,15718,178,WA,REDMOND
deloitte consulting,DELOITTE CONSULTING LLP,2021;2022;2023,12004,533,PA,PHILADELPHIA
apple,APPLE INC,2021;2022;2023,11598,116,CA,CUPERTINO
wipro,WIPRO LIMITED,2021;2022;2023,8072,324,NJ,EAST BRUNSWICK
meta platforms,META PLATFORMS INC,2022;2023,7891,59,CA,MENLO PARK
capgemini,CAPGEMINI AMERICA INC,2021;2022;2023,7757,117,IL,CHICAGO
hcl,HCL AMERICA INC,2021;2022;2023,7675,225,CA,SUNNYVALE
jpmorgan chase,JPMORGAN CHASE CO,2021;2022;2023,7132,69,IL,CHICAGO
intel,INTEL CORP,2021;2022;2023,7125,181,AZ,CHANDLER
ibm,IBM CORPORATION,2021;2022;2023,6855,155,NC,DURHAM
ernst young,ERNST YOUNG LLP,2021;2022;2023,6536,110,NJ,SECAUCUS
amazon web,AMAZON WEB SERVICES INC,2021;2022;2023,6486,121,WA,SEATTLE
facebook,FACEBOOK INC,2021;2022,6469,35,CA,MENLO PARK
accenture,ACCENTURE LLP,2021;2022;2023,6270,96,IL,CHICAGO
wal mart associates,WAL MART ASSOCIATES INC,2021;2022;2023,5981,61,AR,BENTONVILLE
oracle,ORACLE AMERICA INC,2021;2022;2023,5823,23,CA,REDWOOD CITY
cisco,CISCO SYSTEMS INC,2021;2022;2023,5236,90,CA,SAN JOSE
salesforce com,SALESFORCE COM INC,2021;2022,5023,49,CA,SAN FRANCISCO
tech mahindra americas,TECH MAHINDRA AMERICAS INC,2021;2022;2023,4705,121,NJ,BEDMINSTER
fidelity investments,FIDELITY INVESTMENTS,2021;2022;2023,4493,64,MA,BOSTON
compunnel software,COMPUNNEL SOFTWARE GROUP INC,2021;2022;2023,4400,112,NJ,PLAINSBORO
qualcomm,QUALCOMM INCORPORATED,2021;2022;2023,3457,67,CA,SAN DIEGO
larsen and toubro infotech,LARSEN AND TOUBRO INFOTECH LIMITED,2021;2022,3267,48,NJ,EDISON
amazon development center,AMAZON DEVELOPMENT CENTER US INC,2021;2022;2023,2884,34,WA,SEATTLE
goldman sachs,GOLDMAN SACHS CO LLC,2021;2022;2023,2857,31,NJ,JERSEY CITY
paypal,PAYPAL INC,2021;2022;2023,2750,25,CA,SAN JOSE
mindtree,MINDTREE LIMITED,2021;2022;2023,2729,39,NJ,WARREN
randstad,RANDSTAD TECHNOLOGIES LLC,2021;2022;2023,2652,82,MA,WOBURN
linkedin,LINKEDIN CORPORATION,2021;2022;2023,2622,30,CA,SUNNYVALE
nvidia,NVIDIA CORP,2021;2022;2023,2541,17,CA,SANTA CLARA
tesla,TESLA INC,2021;2022;2023,2485,29,CA,PALO ALTO
virtusa,VIRTUSA CORPORATION,2021;2022;2023,2343,104,MA,SOUTHBOROUGH
atos syntel,ATOS SYNTEL INC,2021;2022;2023,2289,51,MI,TROY
mphasis,MPHASIS CORPORATION,2021;2022;2023,2246,27,NY,NEW YORK
deloitte and touche,DELOITTE & TOUCHE LLC,2021;2022;2023,2209,87,MP,SAIPAN
ebay,EBAY INC,2021;2022;2023,2175,10,CA,SAN JOSE
capital one,CAPITAL ONE SERVICES LLC,2021;2022;2023,2159,14,VA,HENRICO
ntt data,NTT DATA INC,2021;2022;2023,2138,54,MA,BOSTON
uber,UBER TECHNOLOGIES INC,2021;2022;2023,2123,40,CA,SAN FRANCISCO
citibank na,CITIBANK NA,2021;2022;2023,2122,27,NY,NEW YORK
cgi technologies and,CGI TECHNOLOGIES AND SOLUTIONS INC,2021;2022;2023,2070,26,VA,FAIRFAX
vmware,VMWARE INC,2021;2022;2023,2044,32,CA,PALO ALTO
l t,L T TECHNOLOGY SERVICES LLC,2021;2022;2023,2034,42,NJ,EDISON
kforce,KFORCE INC,2021;2022;2023,1997,99,FL,TAMPA
hexaware,HEXAWARE TECHNOLOGIES INC,2021;2022;2023,1975,41,NJ,ISELIN
mckinsey company inc united states,MCKINSEY COMPANY INC UNITED STATES,2021;2022;2023,1822,56,NY,NEW YORK
intuit,INTUIT INC,2021;2022;2023,1727,11,CA,MOUNTAIN VIEW
cummins,CUMMINS INC,2021;2022;2023,1717,30,TN,NASHVILLE
pricewaterhousecoopers advisory se,PRICEWATERHOUSECOOPERS ADVISORY SE,2021;2022,1715,57,FL,TAMPA
bloomberg,BLOOMBERG LP,2021;2022;2023,1713,21,NY,NEW YORK
adobe,ADOBE INC,2021;2022;2023,1707,59,CA,PLAYA VISTA
ford motor,FORD MOTOR COMPANY,2021;2022;2023,1706,6,MI,DEARBORN
morgan stanley,MORGAN STANLEY CO LLC,2021;2022;2023,1691,29,NY,NEW YORK
bank of america na,BANK OF AMERICA NA,2021;2022;2023,1642,12,NC,CHARLOTTE
pricewaterhousecoopers,PRICEWATERHOUSECOOPERS LLP,2021;2022;2023,1605,35,FL,TAMPA
visa technology and operations,VISA TECHNOLOGY & OPERATIONS LLC,2021;2022;2023,1556,13,CA,FOSTER CITY
american express travel related,AMERICAN EXPRESS TRAVEL RELATED,2021;2022;2023,1555,7,NY,NEW YORK
pwc advisory,PWC ADVISORY SERVICES LLC,2022;2023,1515,15,FL,TAMPA
general motors,GENERAL MOTORS COMPANY,2021;2022;2023,1503,14,MI,DETROIT
comcast cable communications,COMCAST CABLE COMMUNICATIONS LLC,2021;2022;2023,1491,24,PA,PHILADELPHIA
barclays,BARCLAYS SERVICES CORP,2021;2022;2023,1483,14,NY,NEW YORK
wayfair,WAYFAIR LLC,2021;2022;2023,1480,42,MA,BOSTON
optum,OPTUM SERVICES INC,2021;2022;2023,1476,8,MN,HOPKINS
us bank national association,US BANK NATIONAL ASSOCIATION,2021;2022;2023,1465,8,MN,MINNEAPOLIS
rivian automotive,RIVIAN AUTOMOTIVE LLC,2021;2022;2023,1378,5,CA,IRVINE
mastercard,MASTERCARD INTERNATIONAL INC,2021;2022;2023,1366,5,NY,PURCHASE
synechron,SYNECHRON INC,2021;2022;2023,1363,8,NY,NEW YORK
anthem,ANTHEM INC,2021;2022,1359,8,DE,WILMINGTON
